Loan_ID,Interest_Rate
10164310,2
10164311,0
10164312,1
10164313,1
10164314,1
10164315,2
10164316,2
10164317,2
10164318,2
10164319,2
10164320,2
10164321,2
10164322,0
10164323,1
10164324,2
10164325,0
10164326,0
10164327,2
10164328,2
10164329,2
10164330,1
10164331,0
10164332,2
10164333,1
10164334,1
10164335,2
10164336,2
10164337,1
10164338,2
10164339,1
10164340,1
10164341,1
10164342,1
10164343,0
10164344,1
10164345,2
10164346,1
10164347,2
10164348,2
10164349,0
10164350,1
10164351,2
10164352,1
10164353,2
10164354,2
10164355,2
10164356,1
10164357,2
10164358,2
10164359,1
10164360,1
10164361,1
10164362,2
10164363,1
10164364,1
10164365,1
10164366,1
10164367,1
10164368,0
10164369,2
10164370,1
10164371,0
10164372,2
10164373,2
10164374,1
10164375,0
10164376,1
10164377,0
10164378,0
10164379,0
10164380,2
10164381,1
10164382,1
10164383,2
10164384,2
10164385,1
10164386,2
10164387,2
10164388,2
10164389,0
10164390,2
10164391,2
10164392,1
10164393,2
10164394,2
10164395,1
10164396,0
10164397,1
10164398,0
10164399,2
10164400,2
10164401,2
10164402,2
10164403,1
10164404,0
10164405,2
10164406,2
10164407,0
10164408,1
10164409,2
10164410,0
10164411,2
10164412,1
10164413,1
10164414,0
10164415,1
10164416,2
10164417,1
10164418,1
10164419,2
10164420,2
10164421,1
10164422,1
10164423,2
10164424,1
10164425,1
10164426,2
10164427,2
10164428,1
10164429,2
10164430,1
10164431,1
10164432,2
10164433,2
10164434,2
10164435,0
10164436,2
10164437,2
10164438,2
10164439,1
10164440,2
10164441,2
10164442,1
10164443,2
10164444,1
10164445,1
10164446,1
10164447,1
10164448,1
10164449,0
10164450,1
10164451,1
10164452,2
10164453,2
10164454,1
10164455,1
10164456,1
10164457,1
10164458,1
10164459,2
10164460,1
10164461,2
10164462,1
10164463,0
10164464,1
10164465,2
10164466,1
10164467,2
10164468,1
10164469,2
10164470,0
10164471,2
10164472,2
10164473,1
10164474,1
10164475,1
10164476,1
10164477,2
10164478,2
10164479,1
10164480,1
10164481,1
10164482,2
10164483,1
10164484,1
10164485,2
10164486,1
10164487,2
10164488,1
10164489,0
10164490,2
10164491,2
10164492,2
10164493,2
10164494,2
10164495,2
10164496,1
10164497,2
10164498,2
10164499,1
10164500,1
10164501,1
10164502,1
10164503,1
10164504,2
10164505,1
10164506,1
10164507,2
10164508,2
10164509,2
10164510,1
10164511,1
10164512,2
10164513,0
10164514,0
10164515,2
10164516,1
10164517,1
10164518,1
10164519,0
10164520,1
10164521,2
10164522,1
10164523,1
10164524,0
10164525,1
10164526,2
10164527,2
10164528,2
10164529,2
10164530,2
10164531,2
10164532,1
10164533,1
10164534,1
10164535,2
